Deliverable type,Priority,Production Pipeline,Project Type,Task Count
1002,3,17,2,121
0,3,0,0,1
0,2,0,0,4
0,2,14,0,1
0,5,0,0,4
0,2,16,0,12
0,3,0,0,5
0,3,17,0,5
0,2,6,0,14
0,3,0,0,1
0,3,0,0,1
0,4,0,0,4
0,3,0,0,19
0,3,0,0,4
0,1,0,0,14
0,3,0,0,7
0,3,0,0,12
0,3,0,0,4
0,3,22,0,18
0,3,0,0,1
0,3,26,0,29
0,1,14,0,29
0,3,30,2,9
0,3,0,0,1
0,2,0,0,14
0,2,17,2,4
0,2,13,0,7
0,3,0,0,1
0,3,6,2,4
0,3,22,0,58
0,3,0,0,248
0,3,17,0,14
0,2,11,2,11
0,3,22,0,10
0,3,0,0,20
0,3,17,0,114
0,3,17,0,2
0,3,17,0,87
0,3,17,0,49
0,3,17,0,34
0,2,0,0,4
0,3,0,0,4
0,2,0,0,7
0,4,0,0,2
1,3,0,1,1
3,2,0,1,1
0,2,16,0,6
0,2,16,0,4
0,3,14,0,77
0,3,11,0,88
0,3,17,0,12
0,2,11,0,49
0,2,11,0,23
0,3,0,0,14
0,5,0,0,1
0,3,13,0,15
0,3,0,0,14
1501,3,0,1,1
0,3,17,0,40
0,3,24,0,67
0,3,0,0,1
0,4,14,0,4
0,2,13,2,4
0,1,5,0,13
0,3,0,0,3
0,3,29,0,9
0,3,26,0,7
0,4,28,0,19
0,1,24,0,16
0,2,26,0,30
0,3,0,0,38
0,3,29,0,8
0,2,1,0,36
0,3,0,0,1
0,3,0,0,1
0,3,0,0,2
0,3,0,0,11
0,2,0,0,1
0,2,14,4,29
0,5,0,0,2
0,3,0,0,1
0,3,0,0,51
0,1,6,0,53
0,2,0,0,15
0,1,24,0,21
0,2,16,0,24
0,2,16,2,13
0,3,0,0,161
0,3,11,0,4
0,4,12,2,67
0,3,0,0,29
0,2,0,0,52
0,4,6,0,21
0,3,30,0,1
1002,3,17,4,202
0,3,0,0,1
0,3,0,0,8
0,3,17,0,7
0,4,0,0,4
1205,1,13,2,47
0,3,0,0,1
0,1,19,0,11
0,1,19,3,15
0,1,19,3,14
0,1,19,0,17
0,3,0,0,4
0,3,0,0,1
0,3,0,0,1
0,3,12,2,62
0,3,0,0,1
0,5,0,0,1
0,1,29,2,26
0,3,0,0,4
0,3,0,0,1
0,2,12,0,14
0,3,0,0,6
0,3,26,2,22
0,3,0,0,19
0,3,0,0,4
0,3,0,0,1
0,1,14,2,114
0,3,11,2,67
0,3,6,2,8
1502,2,0,1,1
1205,3,0,1,1
0,3,29,2,29
1715,3,22,0,30
0,2,30,0,6
2,2,0,1,1
0,2,26,0,29
0,2,6,0,4
0,3,14,0,2
0,3,9,0,8
0,2,18,0,1
0,3,0,0,6
0,2,21,0,13
0,2,21,0,17
1501,4,0,1,1
1004,2,0,1,1
0,3,14,0,1
0,1,14,0,115
0,2,29,2,10
0,3,0,0,14
0,3,11,2,27
0,2,0,0,159
0,2,0,0,6
0,1,18,2,3
0,2,18,2,10
0,3,18,0,1
0,2,14,0,15
0,3,25,0,110
1012,3,0,1,1
0,3,0,0,1
0,3,0,0,1
0,3,14,2,14
0,3,22,0,11
0,3,11,0,7
0,5,0,0,3
0,3,27,2,210
0,3,0,0,1
0,3,11,2,88
0,1,17,0,15
0,1,15,0,13
0,3,0,0,4
0,3,0,0,1
0,3,11,0,4
0,3,0,0,39
0,2,0,1,1
0,3,25,0,14
0,3,0,0,1
0,3,0,0,1
0,3,0,0,1
0,3,0,0,1
1001,3,0,1,1
0,3,0,0,1
1001,3,0,1,1
0,2,0,0,5
0,2,13,0,4
0,2,28,0,32
0,5,0,0,1
0,5,0,0,2
0,2,29,0,1
0,5,0,0,2
0,5,14,2,41
0,2,17,0,1
0,2,11,2,88
0,2,14,0,76
0,2,13,0,1
0,3,11,2,6
0,5,0,0,4
0,3,29,0,16
0,3,0,0,3
0,2,0,1,1
0,2,0,0,4
1005,3,0,1,1
0,3,0,0,22
0,3,0,0,5
0,2,17,0,13
0,3,0,0,7
1015,3,0,1,13
0,3,0,0,1
1013,2,0,1,60
0,2,17,0,19
9,5,0,1,1
0,2,6,0,31
0,3,17,0,13
1012,3,0,1,1
0,3,17,0,14
0,2,25,0,11
1708,3,0,1,1
0,3,0,0,1
0,3,0,0,1
0,3,0,0,26
1007,3,0,1,1
1008,3,0,1,3
0,3,0,0,1
0,3,29,2,17
0,3,1,0,9
0,3,25,0,9
1202,3,0,1,1
0,3,28,2,48
1708,3,0,1,1
0,1,0,0,12
0,3,11,2,23
0,3,26,0,25
0,3,29,0,21
1009,3,0,1,1
0,2,28,0,182
0,3,27,0,29
0,1,0,0,34
0,1,0,0,16
1002,2,0,1,15
0,1,0,0,1
0,2,14,0,1
0,2,14,2,39
0,4,0,0,1
0,3,0,0,16
1502,2,0,1,5
0,3,0,0,1
0,3,0,0,1
0,2,11,2,11
1502,2,0,1,1
0,5,0,0,1
0,5,0,0,1
1006,3,0,1,1
0,3,0,0,13
1005,3,0,1,1
0,3,14,2,124
0,3,0,0,4
0,1,5,0,14
0,3,17,0,3
1202,3,0,1,1
0,1,18,0,1
